10
0.09;91,42,2,3,4,5,6,7,8,9,10,57,12,13,14,15,16,59,18,70,20,21,22,33,24,25,26,27,35,29,30,31,66,23,77,28,36,37,38,39,40,41,1,43,44,45,46,47,48,49,50,51,86,53,54,55,56,98,52,17,60,61,62,63,64,65,32,67,68,69,19,71,76,73,74,75,58,34,78,79,80,81,82,83,84,85,99,87,88,89,90,0,92,93,94,95,96,97,11,72
0.18;91,42,2,3,11,5,54,45,15,63,10,57,56,13,19,8,16,60,18,70,20,21,22,33,24,25,26,27,35,29,30,80,66,23,77,28,36,37,86,39,83,41,1,43,44,7,46,72,48,9,50,51,38,53,14,55,12,98,52,17,59,61,62,49,64,58,32,67,68,69,6,71,76,73,74,75,65,34,78,79,31,81,82,40,84,85,99,87,88,89,90,0,92,93,94,95,96,97,4,47
0.27;91,42,2,3,18,19,54,45,15,76,10,57,56,13,5,24,16,60,11,30,70,21,22,71,75,25,85,48,35,29,20,17,66,23,77,28,36,37,86,39,83,41,59,43,44,7,46,72,82,9,50,51,38,53,14,55,12,98,52,80,1,61,62,49,63,58,32,67,68,69,6,33,64,73,74,8,26,34,78,79,31,81,27,40,84,65,99,87,88,89,90,0,92,93,94,95,96,97,4,47
0.36;31,42,48,3,18,94,19,45,15,76,10,90,56,26,5,24,16,60,61,30,70,21,22,71,75,25,85,2,35,53,20,17,66,86,77,28,36,37,98,39,83,41,59,43,44,7,46,72,82,9,50,51,52,29,14,55,12,23,38,80,1,11,62,49,63,88,64,67,68,69,6,33,32,73,40,8,13,34,78,79,54,81,27,74,84,65,99,87,58,89,57,0,92,93,91,95,96,97,4,47
0.45;31,42,48,18,3,94,35,45,15,76,10,90,21,26,5,24,88,60,61,78,70,56,14,95,75,25,85,2,19,53,20,40,66,86,77,28,36,37,98,39,83,41,59,43,44,7,46,72,9,52,80,51,82,29,22,67,12,23,38,50,1,58,62,49,32,16,64,73,68,69,6,33,63,55,17,8,13,34,30,79,54,81,27,74,84,65,99,87,11,89,57,0,92,93,91,71,96,97,4,47
0.55;31,42,48,18,3,94,30,45,15,76,10,90,21,26,28,24,88,60,61,78,70,56,14,95,55,25,22,2,19,53,20,40,93,86,77,47,36,37,98,96,83,50,99,43,44,68,46,72,84,52,80,51,82,57,85,67,12,81,38,41,1,58,62,49,32,16,64,73,7,35,6,39,63,75,17,8,13,34,69,79,54,23,27,74,9,65,59,87,11,89,29,0,92,66,91,71,33,97,4,5
0.64;31,41,48,18,3,50,93,45,15,76,24,12,72,26,28,10,88,9,61,78,70,80,30,95,55,25,22,2,19,53,20,42,14,86,77,47,36,0,98,96,83,94,99,43,44,68,46,69,84,52,56,51,82,57,85,90,67,81,38,40,1,58,62,49,32,16,64,71,7,35,6,39,63,75,17,8,13,34,27,79,54,23,21,74,60,65,59,87,11,89,29,37,92,66,91,73,33,97,4,5
0.73;31,41,88,18,3,39,93,45,15,76,56,12,72,26,28,10,48,9,61,78,70,80,59,95,55,0,22,2,19,53,20,52,14,86,57,47,36,94,98,96,83,34,99,43,13,51,46,69,84,42,77,11,82,24,85,90,67,81,38,40,1,58,62,49,32,16,64,71,7,35,6,50,63,75,17,8,44,25,27,74,54,23,21,79,87,65,30,60,68,89,29,37,92,66,91,73,33,97,4,5
0.82;31,41,11,18,3,39,93,84,15,95,17,12,72,26,28,10,48,9,61,78,70,80,59,63,74,0,22,2,53,88,20,52,51,16,57,47,36,94,98,35,83,34,99,23,13,14,46,69,45,42,49,19,82,24,40,90,67,81,38,85,1,58,62,77,32,86,64,71,7,96,6,50,76,75,92,8,44,25,27,55,54,43,21,79,87,65,30,60,68,89,29,37,56,66,91,73,33,97,4,5
0.91;31,41,11,18,3,39,14,84,15,94,17,27,72,26,28,10,48,9,97,78,70,80,59,63,74,0,22,2,67,13,20,52,51,16,57,47,36,95,98,64,85,34,99,50,88,93,81,69,45,42,49,19,33,24,40,1,53,46,38,83,90,58,62,77,32,86,35,71,91,96,6,23,76,75,92,8,44,25,12,55,29,43,21,68,87,65,30,60,79,89,54,37,56,66,7,73,82,61,4,5
