10
0.0909;0,7,1,2,5,3,4,6,9,8,10,11,18,16,12,14,13,17,19,15
0.1818;0,6,5,2,7,1,3,4,8,10,12,15,18,14,9,17,13,11,19,16
0.2727;0,3,5,4,8,2,7,1,10,9,12,15,17,19,6,13,16,11,18,14
0.3636;0,6,7,2,5,1,8,3,12,9,10,19,11,18,4,14,16,15,17,13
0.4545;4,3,7,1,6,0,9,2,8,14,12,17,10,18,5,11,15,13,19,16
0.5455;4,1,5,3,9,2,8,0,7,11,15,14,12,17,6,18,13,10,19,16
0.6364;2,1,4,3,10,0,5,6,9,11,13,12,16,18,8,19,15,7,17,14
0.7273;1,4,2,7,9,0,8,3,13,10,12,11,19,15,6,17,14,5,16,18
0.8182;6,3,4,5,8,0,9,2,14,11,15,12,19,17,7,13,10,1,16,18
0.9091;4,0,5,7,6,1,8,2,16,9,15,13,18,12,14,11,10,3,17,19
